"sample_id","job_id"
"dcd6e47f5232","spanish-absolute_zero-compact-grounded-opening-r1"
"c25b7610cebd","spanish-absolute_zero-compact-examples-opening-r1"
"aa3584d0eeaa","spanish-beginner-compact-grounded-owned-confusion-r1"
"9dd3b41225a4","spanish-beginner-compact-examples-owned-confusion-r1"
"25da24810967","spanish-beginner-compact-grounded-preference-r1"
"d0f1c224cda8","spanish-beginner-compact-examples-preference-r1"
"5f9ab0a0e68c","spanish-fluent-compact-grounded-argument-r1"
"e44674e5c888","spanish-fluent-compact-examples-argument-r1"
"c8b9163d740e","arabic-absolute_zero-compact-examples-opening-r1"
"fad5cebaa109","arabic-absolute_zero-compact-grounded-opening-r1"
"6a397e022c88","arabic-beginner-compact-examples-owned-confusion-r1"
"f6cb73575146","arabic-beginner-compact-grounded-owned-confusion-r1"
"8972ce3f5aa1","arabic-beginner-compact-examples-preference-r1"
"97c2a7420015","arabic-beginner-compact-grounded-preference-r1"
"bd453d63329c","arabic-fluent-compact-examples-argument-r1"
"bd2ba71ad8be","arabic-fluent-compact-grounded-argument-r1"
"a10c89a305e0","mandarin-absolute_zero-compact-grounded-opening-r1"
"6c9cb77186d0","mandarin-absolute_zero-compact-examples-opening-r1"
"9c8b37dc6aee","mandarin-beginner-compact-grounded-owned-confusion-r1"
"0a660382e4c3","mandarin-beginner-compact-examples-owned-confusion-r1"
"7c337ef72aee","mandarin-beginner-compact-grounded-preference-r1"
"9fa07ad24bd4","mandarin-beginner-compact-examples-preference-r1"
"75d8610c8259","mandarin-fluent-compact-grounded-argument-r1"
"f95574598781","mandarin-fluent-compact-examples-argument-r1"
"1c30775fc82d","spanish-absolute_zero-compact-examples-opening-r2"
"c9de3229d031","spanish-absolute_zero-compact-grounded-opening-r2"
"df0bf8898e20","spanish-beginner-compact-examples-owned-confusion-r2"
"5bdd6da27ea8","spanish-beginner-compact-grounded-owned-confusion-r2"
"4ba36468bd5f","spanish-beginner-compact-examples-preference-r2"
"a5ee9557623a","spanish-beginner-compact-grounded-preference-r2"
"5953896f94fa","spanish-fluent-compact-examples-argument-r2"
"50704e761fcc","spanish-fluent-compact-grounded-argument-r2"
"aea5ba6accb6","arabic-absolute_zero-compact-grounded-opening-r2"
"38a7c94c7382","arabic-absolute_zero-compact-examples-opening-r2"
"bc552d811143","arabic-beginner-compact-grounded-owned-confusion-r2"
"68268d00a3cc","arabic-beginner-compact-examples-owned-confusion-r2"
"ba4bbe8dad59","arabic-beginner-compact-grounded-preference-r2"
"3f1aa9af71bc","arabic-beginner-compact-examples-preference-r2"
"70c88fac77dc","arabic-fluent-compact-grounded-argument-r2"
"bde2132f2446","arabic-fluent-compact-examples-argument-r2"
"395172c063aa","mandarin-absolute_zero-compact-examples-opening-r2"
"4c34c2de7a0f","mandarin-absolute_zero-compact-grounded-opening-r2"
"2c00f884ac40","mandarin-beginner-compact-examples-owned-confusion-r2"
"d3919c6ccb57","mandarin-beginner-compact-grounded-owned-confusion-r2"
"d1d3ddef24b4","mandarin-beginner-compact-examples-preference-r2"
"787850287e5d","mandarin-beginner-compact-grounded-preference-r2"
"50b97bbc2712","mandarin-fluent-compact-examples-argument-r2"
"211e988e3f38","mandarin-fluent-compact-grounded-argument-r2"
